KEY;FR;EN;ES;PT;IT;
tournoi.bonus.finance;Bonus Tournois : {AMOUNT} €;Tournament bonus: {AMOUNT} €;Bonus de torneos: {AMOUNT} €;Bónus de torneios: {AMOUNT} €;Bonus tornei: {AMOUNT} €;
tournoi.bonus.popup;Bonus Tournoi;Tournament bonus;Bonus de torneo;Bónus de torneio;Bonus torneo;
tournoi.selector.title;Choisissez un tournoi;Choose a tournament;Elige un torneo;Escolhe um torneio;Scegli un torneo;
tournoi.selector.printemps;Tournoi de Printemps;Spring Tournament;Torneo de Primavera;Torneio de Primavera;Torneo di Primavera;
tournoi.selector.etoiles;Tournoi des Étoiles;All-Star Tournament;Torneo de las Estrellas;Torneio das Estrelas;Torneo delle Stelle;
tournoi.compare.title;Comparatif des tournois;Tournament comparison;Comparativa de torneos;Comparativo de torneios;Confronto dei tornei;
tournoi.compare.printemps.l1;Difficulté : Équilibrée, adversaires variés;Difficulty: Balanced, varied opponents;Dificultad: equilibrada, rivales variados;Dificuldade: equilibrada, adversários variados;Difficoltà: equilibrata, avversari vari;
tournoi.compare.printemps.l2;Récompenses : Primes en €;Rewards: cash prizes (€);Recompensas: primas en €;Recompensas: prémios em €;Ricompense: premi in €;
tournoi.compare.printemps.l3;Objectif : Stabiliser les finances;Goal: stabilise the club finances;Objetivo: estabilizar las finanzas;Objetivo: estabilizar as finanças;Obiettivo: stabilizzare le finanze;
tournoi.compare.etoiles.l1;Difficulté : Niveau plus élevé;Difficulty: higher level;Dificultad: nivel más alto;Dificuldade: nível mais elevado;Difficoltà: livello più alto;
tournoi.compare.etoiles.l2;Récompenses : Primes en € + Tokens;Rewards: cash  (€) + Tokens;Recompensas: primas en € + Tokens;Recompensas: prémios em € + Tokens;Ricompense: premi in € + Token;
tournoi.compare.etoiles.l3;Objectif : Prestige & amélioration des finances;Goal: prestige & improved finances;Objetivo: prestigio y mejora de las finanzas;Objetivo: prestígio e melhoria das finanças;Obiettivo: prestigio e miglioramento delle finanze;
tournoi.fiche.inscription;Inscription : -{AMOUNT} €;Entry fee: -{AMOUNT} €;Inscripción: -{AMOUNT} €;Taxa de inscrição: -{AMOUNT} €;Quota di iscrizione: -{AMOUNT} €;
tournoi.fiche.participants;Participants : {N} équipes;Participants: {N} teams;Participantes: {N} equipos;Participantes: {N} equipas;Partecipanti: {N} squadre;
tournoi.fiche.finaliste_euros;Finaliste : +{AMOUNT} €;Finalist: +{AMOUNT} €;Finalista: +{AMOUNT} €;Finalista: +{AMOUNT} €;Finalista: +{AMOUNT} €;
tournoi.fiche.vainqueur_euros;Vainqueur : +{AMOUNT} €;Winner: +{AMOUNT} €;Campeón: +{AMOUNT} €;Vencedor: +{AMOUNT} €;Vincitore: +{AMOUNT} €;
tournoi.level.debutant;Débutant;Beginner;Principiante;Iniciante;Principiante;
tournoi.level.intermediaire;Intermédiaire;Intermediate;Intermedio;Intermédio;Intermedio;
tournoi.level.elite;Élite;Elite;Élite;Elite;Élite;
tournoi.bracket.title;{TOURNAMENT} - {LEVEL};{TOURNAMENT} - {LEVEL};{TOURNAMENT} - {LEVEL};{TOURNAMENT} - {LEVEL};{TOURNAMENT} - {LEVEL};
tournoi.selector.printemps;Tournoi de Printemps;Spring Tournament;Torneo de Primavera;Torneio de Primavera;Torneo di Primavera;
tournoi.selector.etoiles;Tournoi des Étoiles;All-Star Tournament;Torneo de las Estrellas;Torneio das Estrelas;Torneo delle Stelle;
saison.stats.none;Aucune statistique disponible.;No statistics available.;Ninguna estadística disponible.;Nenhuma estatística disponível.;Nessuna statistica disponibile.;
saison.prochain_match.now_l1;Match disponible maintenant !;Match available now!;¡Partido disponible ahora!;Jogo disponível agora!;Partita disponibile ora!;
missions.board.title;MISSIONS;MISSIONS;MISIONES;MISSÕES;MISSIONI;
missions.board.subtitle;Objectifs en cours et à venir;Current and upcoming objectives;Objetivos en curso y por venir;Objetivos em curso e futuros;Obiettivi in corso e futuri;
missions.board.badge.active;Mission active;Active mission;Misión activa;Missão ativa;Missione attiva;
missions.board.badge.none;Aucune mission active;No active mission;Ninguna misión activa;Nenhuma missão ativa;Nessuna missione attiva;
missions.panel.locked_before2;Missions débloquées après 2 matchs de saison joués;Missions unlock after 2 season games played;Misiones desbloqueadas tras 2 partidos de liga jugados;Missões desbloqueadas após 2 jogos de época disputados;Missioni sbloccate dopo 2 partite di stagione giocate;
missions.panel.title.inactive;Missions INACTIVES;Inactive missions;Misiones inactivas;Missões inativas;Missioni inattive;
missions.panel.title.active;Mission Active;Active mission;Misión activa;Missão ativa;Missione attiva;
missions.panel.info.inactive;Basculer MISSION_ACTIVE=True pour activer (aucun effet pour l’instant).;Set MISSION_ACTIVE=True to activate (no effect yet).;Establece MISSION_ACTIVE=True para activar (sin efecto por ahora).;Defina MISSION_ACTIVE=True para ativar (sem efeito por enquanto).;Imposta MISSION_ACTIVE=True per attivare (nessun effetto per ora).;
missions.tokens.unlock_title;Débloquer la mission;Unlock mission;Desbloquear la misión;Desbloquear a missão;Sbloccare la missione;
missions.label.M1;Gagner 1 match;Win 1 game;Ganar 1 partido;Vencer 1 jogo;Vincere 1 partita;
missions.label.M2;Vendre 50 billets;Sell 50 tickets;Vender 50 entradas;Vender 50 bilhetes;Vendere 50 biglietti;
missions.label.M3;Améliorer la cafétéria;Upgrade the cafeteria;Mejorar la cafetería;Melhorar a cafeteria;Migliorare la caffetteria;
missions.label.M4;Signer un sponsor bronze;Sign a bronze sponsor;Firmar un patrocinador bronce;Assinar um patrocinador bronze;Firmare uno sponsor bronzo;
missions.label.M5;Recruter un coach;Hire a coach;Contratar a un entrenador;Contratar um treinador;Assumere un allenatore;
missions.label.perf_75pts;Marquer plus de 75 pts;Score > 75 pts;Marcar más de 75 puntos;Marcar mais de 75 pontos;Segnare più di 75 punti;
missions.label.gestion_prix1;Ajuster un prix de billetterie ou boutique;Adjust a ticketing or shop price;Ajustar un precio de taquilla o tienda;Ajustar um preço de bilheteira ou loja;Regolare un prezzo di biglietteria o shop;
missions.label.perf_win2;3 victoires d'affilées;3 consecutive wins;3 victorias seguidas;3 vitórias seguidas;3 vittorie consecutive;
missions.label.compo_youth2x2;Faire jouer 3 joueurs <24 ans;Field 3 players under 24;Alinear a 3 jugadores menores de 24 años;Colocar em campo 3 jogadores com menos de 24 anos;Schierare 3 giocatori sotto i 24 anni;
missions.label.meta_sponsor1;Signer ton premier sponsor;Sign your first sponsor;Firmar tu primer patrocinador;Assinar o teu primeiro patrocinador;Firmare il tuo primo sponsor;
missions.label.meta_coach1;Engager ton premier coach;Hire your first coach;Contratar a tu primer entrenador;Contratar o teu primeiro treinador;Ingaggiare il tuo primo coach;
missions.label.meta_tournois2;Jouer 2 matchs de tournois;Play 2 tournament games;Jugar 2 partidos de torneo;Jogar 2 jogos de torneio;Giocare 2 partite di torneo;
missions.label.meta_mercato1;Acheter ton premier joueur au Mercato;Buy your first player on the transfer market;Comprar tu primer jugador en el mercado de fichajes;Comprar o teu primeiro jogador no mercado;Comprare il tuo primo giocatore sul mercato;
missions.label.meta_stade_next;Débloquer un niveau de stade;Unlock a stadium level;Desbloquear un nivel de estadio;Desbloquear um nível de estádio;Sbloccare un livello di stadio;
missions.label.perf_win6;6 victoires d'affilées;6 consecutive wins;6 victorias seguidas;6 vitórias seguidas;6 vittorie consecutive;
missions.panel.locked_before2;Missions débloquées après 2 matchs de saison joués;Missions unlocked after 2 league matches played;Misiones desbloqueadas tras 2 partidos de liga jugados;Missões desbloqueadas após 2 jogos de liga;Missioni sbloccate dopo 2 partite di campionato;
missions.panel.title.inactive;Missions INACTIVES;Missions INACTIVE;Misiones INACTIVAS;Missões INATIVAS;Missioni INATTIVE;
missions.panel.title.active;Mission Active;Active mission;Misión activa;Missão ativa;Missione attiva;
missions.board.title;Missions disponibles;Available missions;Misiones disponibles;Missões disponíveis;Missioni disponibili;
missions.board.badge.active;Mission active;Active mission;Misión activa;Missão ativa;Missione attiva;
missions.board.badge.none;Aucune mission active;No active mission;Ninguna misión activa;Nenhuma missão ativa;Nessuna missione attiva;
missions.current;Mission en cours : {label};Current mission: {label};Misión en curso: {label};Missão em curso: {label};Missione in corso: {label};
missions.name.M1;Gagner 1 match;Win 1 game;Ganar 1 partido;Vencer 1 partida;Vinci 1 partita;
missions.name.M2;Vendre 50 billets;Sell 50 tickets;Vender 50 entradas;Vender 50 bilhetes;Vendi 50 biglietti;
missions.name.M3;Améliorer la cafétéria;Upgrade the cafeteria;Mejorar la cafetería;Melhorar a cafeteria;Migliora la cafeteria;
missions.name.M4;Signer un sponsor bronze;Sign a bronze sponsor;Firmar un patrocinador bronce;Assinar um patrocinador bronze;Firma uno sponsor bronzo;
missions.name.M5;Recruter un coach;Hire a coach;Contratar a un entrenador;Contratar um treinador;Ingaggia un allenatore;
tokens.popup.title.default;Tu peux utiliser des tokens;You can use tokens;Puedes usar tokens;Podes usar tokens;Puoi usare i token;
missions.tokens.popup_title_mission;Activer Déblocage immédiat pour Mission {REF};Activate instant unlock for Mission {REF};Activar desbloqueo inmediato para la Misión {REF};Ativar desbloqueio imediato para a Missão {REF};Attivare sblocco immediato per la Missione {REF};
tokens.popup.text.missions_unlock;Utilise tes Tokens pour débloquer immédiatement cette mission.;Use your tokens to unlock this mission instantly.;Usa tus tokens para desbloquear esta misión al instante.;Usa os teus tokens para desbloquear esta missão de imediato.;Usa i tuoi token per sbloccare subito questa missione.;
tokens.popup.available_tail;disponibles;available;disponibles;disponíveis;disponibili;
missions.reward.summary;Récompense : {reward};Reward: {reward};Recompensa: {reward};Recompensa: {reward};Ricompensa: {reward};
missions.unlock.prefix;Déblocage immédiat :;Instant unlock:;Desbloqueo inmediato:;Desbloqueio imediato:;Sblocco immediato:;
reward.prefix;Déblocage immédiat :;Instant unlock:;Desbloqueo inmediato:;Desbloqueio imediato:;Sblocco immediato:;
popup.button.cancel;Annuler;Cancel;Cancelar;Cancelar;Annulla;
mercato.closed.title;Mercato fermé;Transfer window closed;Mercado de fichajes cerrado;Janela de transferências fechada;Mercato chiuso;
mercato.flash.marque_a_vendre;{nom} marqué à vendre (cliquer sur Confirmer).;{nom} marked for sale (click Confirm).;{nom} marcado para la venta (haz clic en Confirmar).;{nom} marcado para venda (clique em Confirmar).;{nom} segnato in vendita (clicca Conferma).;
mercato.flash.vente_annulee;Sélection vente annulée pour {nom}.;Sale selection cancelled for {nom}.;Selección de venta anulada para {nom}.;Seleção de venda cancelada para {nom}.;Selezione vendita annullata per {nom}.;
popup.domicile.title;Prochain match à domicile vs {adv};Next home game vs {adv};Próximo partido en casa contra {adv};Próximo jogo em casa contra {adv};Prossima partita in casa contro {adv};
popup.domicile.info;Gère ton Stade pour l'accueil du public !;Manage your stadium to welcome the fans!;¡Gestiona tu pabellón para acoger al público!;Gerencie o seu estádio para receber o público!;Gestisci il tuo palazzetto per accogliere il pubblico!;
popup.domicile.btn.billetterie;Billetterie / Boutique;Tickets / Shop;Taquilla / Tienda;Bilheteira / Loja;Biglietteria / Negozio;
popup.domicile.btn.compo;Aller à la compo (8);Go to lineup (8);Ir a la alineación (8);Ir para a equipa (8);Vai alla formazione (8);
compo.popup.title.left;==> Choisis ta compo des ;==> Pick your line-up of ;==> Elige tu equipo de ;==> Escolhe a tua equipa de ;==> Scegli la tua squadra di ;
compo.popup.title.middle;8 joueurs;8 players;8 jugadores;8 jogadores;8 giocatori;
compo.popup.title.right; pour ce match; for this game; para este partido; para este jogo; per questa partita;
compo.popup.start_match;Démarrer MATCH;Start MATCH;Comenzar MATCH;Iniciar MATCH;Avvia MATCH;
gestion.button.save;Sauvegarder la partie;Save game;Guardar partida;Guardar jogo;Salva partita;
gestion.title;Management du Club : {club};Club Management: {club};Gestión del club: {club};Gestão do clube: {club};Gestione del club: {club};
gestion.save.button;Sauvegarder la partie;Save game;Guardar partida;Guardar jogo;Salva partita;
gestion.music.on;Musique ON;Music ON;Música ON;Música ON;Musica ON;
gestion.music.off;Musique OFF;Music OFF;Música OFF;Música OFF;Musica OFF;
gestion.zone.finances;Finances;Finances;Finanzas;Finanças;Finanze;
gestion.zone.game;Aller au Game;Go to Game;Ir al partido;Ir para o jogo;Vai alla partita;
gestion.zone.stade;Stade;Stadium;Estadio;Estádio;Stadio;
gestion.zone.equipe;Equipe;Team;Equipo;Equipa;Squadra;
gestion.zone.messages;Messages;Messages;Mensajes;Mensagens;Messaggi;
gestion.zone.sponsors;Sponsors;Sponsors;Patrocinadores;Patrocinadores;Sponsor;
gestion.zone.staff;Staff;Staff;Personal;Staff;Staff;
gestion.zone.trophees;Trophées;Trophies;Trofeos;Troféus;Trofei;
gestion.save.button;Sauvegarder la partie;Save game;Guardar partida;Guardar jogo;Salva partita;
gestion.music.on;Musique ON;Music ON;Música ON;Música ON;Musica ON;
gestion.music.off;Musique OFF;Music OFF;Música OFF;Música OFF;Musica OFF;
menu.accueil.bouton_creer;Créer son équipe;Create your team;Crear tu equipo;Criar sua equipe;Crea la tua squadra;
menu.accueil.bouton_reprendre;Reprendre la partie;Resume game;Reanudar partida;Retomar partida;Riprendi partita;
form.nom_equipe.placeholder;Nom de l'équipe;Team name;Nombre del equipo;Nome da equipa;Nome della squadra;
form.alias.placeholder;Alias (optionnel);Alias (optional);Alias (opcional);Alias (opcional);Alias (opzionale);
ui.button.validate;Valider;Validate;Validar;Validar;Conferma;
ui.button.menu;Menu;Menu;Menú;Menu;Menu;
stadium.tab.stade;Stade;Stadium;Estadio;Estádio;Stadio;
stadium.tab.billetterie;Billetterie;Ticketing;Taquilla;Bilheteria;Biglietteria;
stadium.tab.boutique;Boutique;Shop;Tienda;Loja;Negozio;
stadium.tab.cafeteria;Cafétéria;Cafeteria;Cafetería;Cafetaria;Caffetteria;
stadium.tab.parkings;Parkings;Parking;Aparcamiento;Estacionamento;Parcheggi;
stadium.info.capacity_current;Capacité actuelle;Current capacity;Capacidad actual;Capacidade atual;Capacità attuale;
stadium.info.maintenance;Entretien;Maintenance;Mantenimiento;Manutenção;Manutenzione;
stadium.info.maintenance.good;Bon;Good;Bueno;Bom;Buono;
stadium.info.maintenance_cost;Coût d'entretien;Maintenance cost;Coste de mantenimiento;Custo de manutenção;Costo di manutenzione;
stadium.button.works_in_progress;Tvx en cours;Works in progress;Obras en curso;Obras em curso;Lavori in corso;
stadium.button.evolve;Faire évoluer;Upgrade;Mejorar;Melhorar;Potenziare;
stadium.button.max_reached;Max atteint;Max reached;Máximo alcanzado;Máximo atingido;Massimo raggiunto;
stadium.upgrade.title;Évolution du stade;Stadium upgrade;Evolución del estadio;Melhoria do estádio;Aggiornamento stadio;
stadium.upgrade.subtitle;Niveau actuel : {LEVEL}   •   Capacité : {CAP} places   •   Coût entretien annuel : {MAINT} €;Current level: {LEVEL}   •   Capacity: {CAP} seats   •   Annual maintenance cost: {MAINT} €;Nivel actual: {LEVEL}   •   Capacidad: {CAP} asientos   •   Coste anual de mantenimiento: {MAINT} €;Nível atual: {LEVEL}   •   Capacidade: {CAP} lugares   •   Custo anual de manutenção: {MAINT} €;Livello attuale: {LEVEL}   •   Capienza: {CAP} posti   •   Costo manutenzione annuo: {MAINT} €;
stadium.upgrade.badge.acquired;Acquis;Owned;Adquirido;Adquirido;Acquistato;
stadium.upgrade.card.level;Niveau {LEVEL};Level {LEVEL};Nivel {LEVEL};Nível {LEVEL};Livello {LEVEL};
stadium.upgrade.card.capacity;Capacité : {CAP} places;Capacity: {CAP} seats;Capacidad: {CAP} asientos;Capacidade: {CAP} lugares;Capienza: {CAP} posti;
stadium.upgrade.card.cost;Coût : {COST} €;Cost: {COST} €;Coste: {COST} €;Custo: {COST} €;Costo: {COST} €;
stadium.upgrade.card.duration;Durée des tvx : {DUR} matchs;Works duration: {DUR} matches;Duración de las obras: {DUR} partidos;Duração das obras: {DUR} jogos;Durata lavori: {DUR} partite;
stadium.upgrade.button.cancel;Annuler;Cancel;Cancelar;Cancelar;Annulla;
stadium.upgrade.button.confirm;Confirmer;Confirm;Confirmar;Confirmar;Conferma;
stadium.upgrade.help;Clique une carte pour sélectionner un palier, puis 'Confirmer'.;Click a card to select a level, then confirm.;Haz clic en una tarjeta para seleccionar un nivel y luego confirma.;Clica num cartão para selecionar um nível e depois confirma.;Clicca su una carta per scegliere un livello, poi conferma.;
stadium.upgrade.badge.acquired;Acquis;Owned;Adquirido;Adquirido;Acquistato;
stadium.upgrade.card.level;Niveau {LEVEL};Level {LEVEL};Nivel {LEVEL};Nível {LEVEL};Livello {LEVEL};
stadium.upgrade.card.capacity;Capacité : {CAP} places;Capacity: {CAP} seats;Capacidad: {CAP} asientos;Capacidade: {CAP} lugares;Capienza: {CAP} posti;
stadium.upgrade.card.cost;Coût : {COST};Cost: {COST};Coste: {COST};Custo: {COST};Costo: {COST};
stadium.upgrade.card.duration;Durée des tvx : {DUR} matchs;Works duration: {DUR} matches;Duración de las obras: {DUR} partidos;Duração das obras: {DUR} jogos;Durata lavori: {DUR} partite;
tokens.popup.classic_pay_delay;Payer {COST} € + délai {DMATCH} {MATCH_WORD};Pay {COST} € + delay {DMATCH} {MATCH_WORD};Pagar {COST} € + plazo {DMATCH} {MATCH_WORD};Pagar {COST} € + prazo {DMATCH} {MATCH_WORD};Paga {COST} € + attesa {DMATCH} {MATCH_WORD};
ui.match.singular;match;match;partido;jogo;partita;
ui.match.plural;matchs;matches;partidos;jogos;partite;
stadium.tokens.reduce_duration;Réduis la durée à {NEW} {MATCH_WORD} avec {AMOUNT} tokens.;Reduce the duration to {NEW} {MATCH_WORD} with {AMOUNT} tokens.;Reduce la duración a {NEW} {MATCH_WORD} con {AMOUNT} tokens.;Reduz a duração para {NEW} {MATCH_WORD} com {AMOUNT} tokens.;Riduci la durata a {NEW} {MATCH_WORD} con {AMOUNT} token.;
tokens.popup.classic_pay_delay;Payer {COST} € + délai {DMATCH} {MATCH_WORD};Pay {COST} € + delay {DMATCH} {MATCH_WORD};Pagar {COST} € + plazo {DMATCH} {MATCH_WORD};Pagar {COST} € + prazo {DMATCH} {MATCH_WORD};Paga {COST} € + attesa {DMATCH} {MATCH_WORD};
ui.match.singular;match;match;partido;jogo;partita;
ui.match.plural;matchs;matches;partidos;jogos;partite;
tokens.popup.accel_text;Réduis la durée à 1 match avec des tokens.;Reduce the duration to 1 match with tokens.;Reduce la duración a 1 partido con tokens.;Reduz a duração para 1 jogo com tokens.;Riduci la durata a 1 partita con token.;
stadium.upgrade.lock.flash;Termine {FROM} pour débloquer {TO};Finish {FROM} to unlock {TO};Termina {FROM} para desbloquear {TO};Conclua {FROM} para desbloquear {TO};Completa {FROM} per sbloccare {TO};
stadium.upgrade.locked.generic;Palier verrouillé;Locked tier;Nivel bloqueado;Nível bloqueado;Livello bloccato;
saison.button.go_match;Aller au MATCH !;Go to the MATCH !;¡ Ir al PARTIDO !;Ir para o JOGO !;Vai alla PARTITA !;
saison.button.end_season;Fin de saison;End of season;Fin de temporada;Fim da temporada;Fine stagione;
tokens.popup.insufficient;Nombre de tokens insuffisants;Not enough tokens;Número de tokens insuficiente;Número de tokens insuficiente;Numero di token insufficiente;
money.popup.insufficient;Argent insuffisant;Not enough money;Dinero insuficiente;Dinheiro insuficiente;Denaro insufficiente;
stadium.billetterie.category.a;Catégorie A (VIP);Category A (VIP);Categoría A (VIP);Categoria A (VIP);Categoria A (VIP);
stadium.billetterie.category.b;Catégorie B (Préférence);Category B (Preferred);Categoría B (Preferente);Categoria B (Preferência);Categoria B (Preferenza);
stadium.billetterie.category.c;Catégorie C (Grand Public);Category C (General Public);Categoría C (Público general);Categoria C (Grande público);Categoria C (Grande pubblico);
stadium.billetterie.capacity_max;Capacité max : {CAP} places;Max capacity: {CAP} seats;Capacidad máx.: {CAP} asientos;Capacidade máx.: {CAP} lugares;Capienza max: {CAP} posti;
stadium.billetterie.col.price;Prix (€);Price (€);Precio (€);Preço (€);Prezzo (€);
stadium.billetterie.col.seats;Nbr places;Seats;Nº asientos;Nº lugares;N. posti;
stadium.billetterie.limit_msg.a;Niveau max d'acceptation par les supporteurs !;Fans won't accept higher!;¡Los aficionados no aceptan más!;Os adeptos não aceitam mais!;I tifosi non accettano di più!;
stadium.billetterie.limit_msg.b;Attention, on doit remplir le stade !;Careful: we must fill the arena!;¡Ojo: hay que llenar el estadio!;Atenção: temos de encher o estádio!;Attenzione: dobbiamo riempire l’arena!;
stadium.billetterie.limit_msg.c;Le grand public doit en profiter !;The general public must enjoy it!;¡El público general debe disfrutarlo!;O grande público tem de aproveitar!;Il grande pubblico deve beneficiarne!;
stadium.billetterie.total_forecast;Total prévisionnel : {TOTAL} €;Forecast total: {TOTAL} €;Total previsto: {TOTAL} €;Total previsto: {TOTAL} €;Totale previsto: {TOTAL} €;
stadium.billetterie.total_seats;Total {NB} places;Total {NB} seats;Total {NB} asientos;Total {NB} lugares;Totale {NB} posti;
billetterie.category.a;Catégorie A (VIP);Category A (VIP);Categoría A (VIP);Categoria A (VIP);Categoria A (VIP);
billetterie.category.b;Catégorie B (Préférence);Category B (Preferred);Categoría B (Preferente);Categoria B (Preferência);Categoria B (Preferenza);
billetterie.category.c;Catégorie C (Grand Public);Category C (General public);Categoría C (Público general);Categoria C (Público geral);Categoria C (Pubblico generale);
billetterie.capacity.max;Capacité max : {CAP} places;Max capacity: {CAP} seats;Capacidad máx.: {CAP} asientos;Capacidade máx.: {CAP} lugares;Capienza max: {CAP} posti;
billetterie.col.price;Prix (€);Price (€);Precio (€);Preço (€);Prezzo (€);
billetterie.col.seats;Nbr places;Seats qty;Nº asientos;Nº lugares;N° posti;
boutique.col.item;Article;Item;Artículo;Item;Articolo;
boutique.col.stock;Stock;Stock;Stock;Stock;Scorte;
boutique.col.price;Prix (€);Price (€);Precio (€);Preço (€);Prezzo (€);
boutique.total.forecast;Total prévisionnel : {AMOUNT} €;Forecast total: {AMOUNT} €;Total previsto: {AMOUNT} €;Total previsto: {AMOUNT} €;Totale previsto: {AMOUNT} €;
boutique.price.too_high;Attention ça risque d'être trop cher!;Careful, this may be too expensive!;¡Cuidado, puede ser demasiado caro!;Atenção, pode ser caro demais!;Attenzione, potrebbe essere troppo caro!;
boutique.product.flags;Drapeaux;Flags;Banderas;Bandeiras;Bandiere;
boutique.product.caps;Casquettes;Caps;Gorras;Bonés;Cappellini;
boutique.product.scarves;Écharpes;Scarves;Bufandas;Cachecóis;Sciarpe;
boutique.product.tshirts;T-shirts;T-shirts;Camisetas;T-shirts;T-shirt;
boutique.product.bottles;Gourdes;Bottles;Botellas;Garrafas;Borracce;
boutique.product.mugs;Mugs;Mugs;Tazas;Canecas;Tazze;
boutique.product.keychains;Porte-clés;Keychains;Llaveros;Porta-chaves;Portachiavi;
boutique.product.backpack;Sac à dos;Backpack;Mochila;Mochila;Zaino;
cafeteria.col.item;Article;Item;Artículo;Item;Articolo;
cafeteria.col.stock;Stock;Stock;Stock;Stock;Scorte;
cafeteria.col.price;Prix (€);Price (€);Precio (€);Preço (€);Prezzo (€);
cafeteria.warn.too_high;C'est pas trop cher?;Too expensive?;¿No es demasiado caro?;Não é caro demais?;Non è troppo caro?;
cafeteria.total.forecast;Total prévisionnel : {AMOUNT} €;Forecast total: {AMOUNT} €;Total previsto: {AMOUNT} €;Total previsto: {AMOUNT} €;Totale previsto: {AMOUNT} €;
parking.badge.in_progress;En cours;In progress;En curso;Em curso;In corso;
parking.card.capacity;Capacité : {CAP} places;Capacity: {CAP} seats;Capacidad: {CAP} plazas;Capacidade: {CAP} lugares;Capienza: {CAP} posti;
parking.card.cost;Coût : {COST};Cost: {COST};Coste: {COST};Custo: {COST};Costo: {COST};
parking.card.duration;Durée des tvx : {DUR} matchs;Works duration: {DUR} matches;Duración de obras: {DUR} partidos;Duração das obras: {DUR} jogos;Durata lavori: {DUR} partite;
parking.button.confirm;Confirmer;Confirm;Confirmar;Confirmar;Conferma;
common.button.back;Retour;Back;Volver;Voltar;Indietro;
common.button.menu;Menu;Menu;Menú;Menu;Menu;
common.button.confirm;Confirmer;Confirm;Confirmar;Confirmar;Conferma;
common.button.validate;Valider;Validate;Validar;Validar;Convalida;
team.button.crests;Blasons;Crests;Escudos;Brasões;Stemmi;
team.button.performance_table;Tableau de performances;Performance table;Tabla de rendimiento;Tabela de desempenho;Tabella prestazioni;
sponsors.button.active_contract;Contrat actif;Active contract;Contrato activo;Contrato ativo;Contratto attivo;
stadium.lock.min_level_2_1;À partir du Niveau 2-1.;From Level 2-1.;A partir del Nivel 2-1.;A partir do Nível 2-1.;Dal Livello 2-1.;
team.roster.header;Voici les fiches de tes joueurs !;Here are your players’ cards!;Aquí están las fichas de tus jugadores!;Aqui estão as fichas dos teus jogadores!;Ecco le schede dei tuoi giocatori!;
team.performance.title;Tableau de performances;Performance table;Tabla de rendimiento;Tabela de desempenho;Tabella prestazioni;
team.performance.total_salaries;Total salaires : {AMOUNT} €;Total Salaries: {AMOUNT} €;Salarios totales: {AMOUNT} €;Salários totais: {AMOUNT} €;Salari totali: {AMOUNT} €;
team.roster.hint.rename_lv4;Niv.4+ : clic sur le prénom pour le renommer -> intro.;Lv4+: click the first name to rename -> intro.;Niv.4+: haz clic en el nombre para renombrarlo -> intro.;Nív.4+: clica no nome para renomear -> intro.;Lv4+: clicca sul nome per rinominarlo -> intro.;
team.performance.col.name;Nom;Name;Nombre;Nome;Nome;
team.performance.col.position;Poste;Position;Puesto;Posição;Ruolo;
team.performance.col.age;Âge;Age;Edad;Idade;Età;
team.table.col.name;Nom;Name;Nombre;Nome;Nome;
team.table.col.position;Poste;Position;Posición;Posição;Ruolo;
team.table.col.age;Âge;Age;Edad;Idade;Età;
player.position.meneur;Meneur;Pt. Guard;Base;Armador;Playmaker;
player.position.arriere;Arrière;S. Guard;Escolta;Atirador;Guardia tiratrice;
player.position.ailier;Ailier;Small Forw.;Alero;Extremo;Ala piccola;
player.position.pivot;Pivot;Center;Pívot;Pivô;Centro;
player.field.age;Âge;Age;Edad;Idade;Età;
player.card.line.salary;Salaire;Salary;Salario;Salário;Stipendio;
player.card.line.perf;Perf;Perf;Rend.;Perf.;Prest.;
player.card.line.motiv;Motiv;Motiv;Motiv;Motiv;Motiv;
player.card.line.shot_pct;% Tir;Shot %;Tiro %;Arrem. %;Tiro %;
player.card.line.speed;Vit.;Spd.;Vel.;Vel.;Vel.;
player.card.line.strength;For.;Str.;Fue.;For.;For.;
player.card.line.defense;Def.;Def.;Def.;Def.;Dif.;
player.card.line.endurance;End.;End.;Res.;Res.;Res.;
player.card.status.recovery_months;Convalescence : {M} m.;Recovery: {M} mo.;Recuperación: {M} mes.;Recuperação: {M} m.;Recupero: {M} m.;
player.card.status.injured;Blessé;Injured;Lesionado;Lesionado;Infortunato;
team.roster.group.meneurs;Meneurs;Point Guards (PG);Bases;Armadores;Playmaker;
team.roster.group.ailiers;Ailiers;Small Forwards (SF);Aleros;Extremos;Ali piccole;
team.roster.group.pivots;Pivots;Centers;Pívots;Pivôs;Centri;
team.roster.group.arrieres;Arrières;Shooting Guards (SG);Escoltas;Atiradores;Guardie tiratrici;
ui.season.label;Saison {N};Season {N};Temporada {N};Temporada {N};Stagione {N};
finance.archive.ribbon.label;Archive Finances — Saison {N};Finance archive — Season {N};Archivo de finanzas — Temporada {N};Arquivo financeiro — Temporada {N};Archivio finanze — Stagione {N};
finance.archive.unavailable;Archive indisponible;Archive unavailable;Archivo no disponible;Arquivo indisponível;Archivio non disponibile;
finance.archive.popup.title;Archive Finance — Saison {N};Finance archive — Season {N};Archivo de finanzas — Temporada {N};Arquivo financeiro — Temporada {N};Archivio finanze — Stagione {N};
finance.archive.popup.none;Aucune capture disponible;No snapshot available;No hay captura disponible;Nenhuma captura disponível;Nessuna cattura disponibile;
finance.box.total_revenues;Total Recettes;Total Revenues;Total ingresos;Total de receitas;Entrate totali;
